X,Y,Z
724,-644,-409
800,-182,53
2035,-1678,1187
312,-317,-38
-512,145,893
577,-289,241
1217,-928,267
-109,198,948
167,-590,805
273,-478,983
410,-488,916
584,-649,735
480,-512,806
135,-613,825
427,-558,794
581,-573,757
347,-480,906
327,-545,857
384,-601,814
335,-423,928
522,-560,798
405,-508,840
245,-563,876
361,-505,813
458,-528,860
,,
,,
,,
578,-247,800
394,-45,730
130,-263,2047
746,-1254,573
1182,-705,166
1235,-1838,677
381,-708,749
757,-926,205
1455,-678,453
238,-496,656
156,-794,674
620,-442,711
843,-746,551
384,-596,741
372,-571,1041
668,-806,514
554,-578,775
554,-750,751
356,-490,815
711,-726,735
459,-504,717
453,-793,716
333,-451,896
615,-665,604
553,-552,762
417,-631,781
,,
,,
,,
,,
548,-424,841
687,-420,979
-323,-217,383
63,186,436
1975,-1613,-1059
1149,-247,-560
1677,-861,394
934,-564,828
1085,-1037,-320
481,-608,-519
923,-685,300
853,-507,489
710,-592,84
1078,-894,-148
914,-963,-292
636,-712,112
851,-686,647
1001,-782,-37
759,-609,-345
874,-737,228
712,-823,356
663,-714,-45
934,-818,33
933,-794,133
758,-632,68
867,-750,222
850,-901,20
728,-762,-54
845,-750,272
848,-723,248
782,-631,-13
918,-765,122
792,-842,215
725,-742,114
,,
,,
,,
829,-666,-122
764,-731,205
715,-642,161
-121,-494,66
905,-831,-1207
1146,-1282,-875
222,-750,-821
514,-830,-212
957,-905,573
1482,-883,-193
781,-325,-320
831,-585,-360
951,-981,270
836,-821,546
532,-596,443
729,-678,439
1056,-776,441
1041,-704,7
817,-569,-45
836,-644,297
852,-654,720
808,-702,513
675,-666,270
840,-750,260
995,-761,261
881,-609,276
,,
,,
,,
502,76,13
446,445,-112
348,-11,1244
1536,-542,87
777,-376,276
1013,6,148
646,76,916
1207,-210,664
927,-109,380
929,-113,212
967,-179,672
757,-35,785
948,-352,364
938,-270,420
831,21,689
762,77,893
714,-251,738
966,17,452
923,-61,551
782,39,802
859,-154,731
750,-307,596
845,-180,585
776,-10,733
841,10,833
817,-98,722
